Notice Identifier,Notice Type,Organisation Name,Status,Published Date,Title,Description,Nationwide,Postcode,Region,Cpv Codes,Contact Name,Contact Email,Contact Address 1,Contact Address 2,Contact Town,Contact Postcode,Contact Country,Contact Telephone,Contact Website,Attachments,Links,Additional Text,Start Date,End Date,Closing Date,Is sub-contract,Parent Reference,Suitable for SME,Suitable for VCO,Supply Chain,OJEU Contract Type,Value Low,Value High,Awarded Date,Awarded Value,Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE],Supplier's contact name,Contract start date,Contract end date,OJEU Procedure Type,Accelerated Justification,Closing Time
IT-100-3920-PQ0441 - AWARD,Contract,Birmingham City Council,Awarded,2023-11-05T21:29:19Z,PQ0441 - Data Solution for Birmingham Drug & Alcohol Review of Deaths (DARD) Group  - AWARD,"Birmingham City Council (the Council) Public Health Division are commissioning a drug and alcohol-related deaths data recording, storage, and analysis solution. The successful supplier will also provide facilitation and administration of the bi-monthly Drug and Alcohol Review of Deaths (DARD) group. The successful applicant will need to collaborate with the Council's Public Health Division and with the members of the DARD group, with an overall aim of contributing to systematic work to prevent future deaths due to alcohol or drug use.
      
      The Council has recently consulted on the Triple Zero (Drug and Alcohol) Strategy which will be implemented while the provider is in post. The Triple Zero Strategy includes three key ambitions: zero deaths due to drug or alcohol addiction, zero overdoses due to drug or alcohol addiction and zero people unable to received support for their addiction when they need it. These are deliberately ambitious, as aiming for anything else would be a disservice to our citizens.
      
      The Birmingham DARD group meets bi-monthly, focussing on seeking opportunities to systematically prevent future deaths due to drug or alcohol use. Members include Public Health professionals, substance use service providers, substance use service commissioners, colleagues from the Coroner's Office, toxicologists, emergency services professionals and third sector organisations. Currently data collection, collation and analysis are done by one individual who works closely with the coroner's office. The current DARD focuses almost entirely on drug-related deaths and we will be increasing the focus on alcohol-related deaths as the new Strategy is implemented.
      
      The Council's Public Health Division are seeking a tool which provides a data solution and administrative meeting support for the DARD meetings. The successful provider will provide a bespoke cross-system data surveillance system which is suitable for use by all relevant DARD group members. The tool will be able to:
      
      i. Systematically record all deaths attributable to drugs and alcohol within Birmingham
      ii. Alert relevant stakeholders when a new death is recorded on the system
      iii. Produce reports on drug and alcohol related death data on demand
      iv. Provide a dedicated portal to access drug and alcohol related data for the Birmingham DARD group, and facilitate direct access to the tool for the relevant members
      v. The tool will not require routine administration by the BCC Public Health team; all routine administration will be the responsibility of the successful provider and data entry will be completed by the appropriate agency/professional or the successful provider
      
      This contract will be for a period of 2 years commencing May 2023 until April 2025.
      
      The Council will be using its free to use e-tendering system (in-tend) for the administration of this procurement process and potential suppliers must register with the system to be able to express an ...",,B4 7WB,West Midlands,48810000 48000000 85100000 72314000 48813000 48613000 85140000 48612000 79996100 72312000 72300000 ,Manjit Samrai,manjit.samrai@birmingham.gov.uk,10 Woodcock Street,Birmingham,West Midlands,B4 7WB,United Kingdom,0121 464 8000,,,,,04/12/2023,03/12/2025,09/05/2023,NO,,Yes,Yes,No,Services,0,0,29/08/2023,69240,"[JMU Services Limited|2nd Floor Exchange Station, Titherbarn Street, Liverpool, United Kingdom, L2 2QP|NONE||No|No]",,04/12/2023,03/12/2025,Open ,,12:00
RUTLAND/OCT17/03,Contract,Welland Procurement Unit,Awarded,2017-11-02T14:47:21Z,Substance Misuse and Community Treatment Service,"The Community Substance Misuse and Treatment Service shall aim to reduce the substance related harm to individuals, families and communities and support the building of individual recovery. 

 The Service will be a single integrated specialist substance misuse service, providing specialist drug and alcohol services for adults and young people, including specialist services for adults and young people within the criminal justice system.

 The service will include: alcohol and drug structured treatment and interventions for both adults and young people; required criminal justice provision; advice for other professionals; recovery support; and provision of Needle Exchange and pharmacy-based supervised consumption. These last elements may be subcontracted by the provider. In-patient treatment provision remains a separate contract.",,LE15 6HP,,85323000,,Contracts@rutland.gov.uk,Rutland County Council,,Oakham,LE156HP,England,,,,,,01/10/2017,30/09/2020,16/06/2017,NO,,No,No,No,Services,270000,,07/08/2017,270000,"[Turning Point (Services) Ltd|Standon House, Mansell Street, London E1 8AA|||No|No]",,01/10/2017,30/09/2020,OpenNonOJEU ,,
CF1V3-20160411-00001877,Contract,Sefton Council,Awarded,2016-04-11T15:07:36+01:00,The provision of a Medically managed Substance Misuse Residential Detoxification service,"Sefton Council intends to secure the services of experienced and suitably qualified organisations to deliver a residential medically managed detoxification service for substance misusers resident in Sefton.  A residential medically managed service is required for individuals wishing to realise a drug and/or alcohol-free life, but whose physical or mental health, family or social circumstances makes it unlikely that the person is able to realise this goal in a community setting.
The current service has been hosted and provided by Mersey Care NHS Trust as part of an integrated, recovery-orientated, substance misuse treatment system.  The service has been delivered against a service specification, moderated and performance managed since 2013 by Sefton Council.
From April 1st 2013 NHS Sefton ceased to exist and the Public Health function became the responsibility of the Local Authority. The responsibility for commissioning substance misuse services transitioned to Local Authorities at the same time.  All existing contractual arrangements were transitioned into the Local Authority and this contract was extended until 31st March 2016.  A further extension of three months has enabled a review of the balance between residential and community detoxification to be undertaken.  
In light of the above, Sefton Council is in the position to procure, through an OJEU Light-Touch Regime tender process, a residential medically managed detoxification service that meets local needs, in order to award the contract.  Submissions will be invited from suitably experienced and qualified organisations to deliver this service as the sole contractor.  Sub-contracting will not be acceptable, and will lead to a fail at the pass/fail section.  The bedded unit must be within 15 miles of the Sefton border in order to pass at the pass/fail section
",,,Any region,85000000,STUART BATE,stuart.bate@sefton.gov.uk,7th Floor Merton House,Stanley Road,Bootle,L203UU,UK,'+44 1519344288,,,,"VIA PRO CONTRACT
SEFTON MBC ",01/07/2016,01/07/2021,29/01/2016,NO,,No,No,No,Services,1125000,1875000,14/03/2016,1875000,"[MERSEYCARE NHS TRUST|V7, Kings Business Park , Prescot, Merseyside, L34 1PJ, UK|||No|No]",,01/07/2016,01/07/2021,NotSpecified ,,
CD1098,Contract,SUFFOLK COUNTY COUNCIL,Awarded,2015-07-29T13:59:59+01:00,"Supporting Treatment, Accommodation and Recovery in Suffolk","Suffolk County Council is looking to award a contract for Supporting Treatment, Accommodation and Recovery in Suffolk for
clients engaged with substance misuse treatment services.

Following a pilot project, the Supporting Treatment, Accommodation & Recovery in Suffolk (STARS) provision was
commissioned as a contracted service in late 2012 in order to address the housing needs of those clients engaged with
substance misuse treatment services. Public Health are investing in the continuation of this service in order to build on the
evidence already gathered in order to measure longer term outcomes and gauge the impact on service users engaged with
STARS.
Whilst the primary focus of this service is to address housing needs and provide intensive support where required, there is
an expectation that the provider will also take into consideration the holistic needs of the client group. Opportunities to build
on social, physical, human and cultural capital, coordinated with substance misuse treatment providers will ensure the best
possible outcome for the client in their recovery journey.
The service covers two main elements, advocacy and support and intensive support. The county wide service will offer
advocacy and support in each of the three main localities (Ipswich, Bury St Edmunds and Lowestoft) to clients who are
considered to have a housing need via the STARS advocacy and support service. It is vital therefore that staff in the service
have an in-depth knowledge of the accommodation options available throughout the county and have experience of the
barriers facing this client group. The intensive support service will offer both high level support and suitable accommodation
to those clients with a long history of substance misuse who are unable to find accommodation elsewhere due to complex
needs. The service will offer tailored support to enable clients to achieve recovery from substance misuse and gain the skills
required to eventually live independently.
Suffolk County Council has decided not to divide the contract into lots so as to enable flexibility of funding and service
provision across the county according to service user need. The contract duration will be for 2 years with the option to extend
for up to a further 12 months.",,,East of England,85000000,Ashley Sale,ashley.sale@suffolk.gov.uk,"Suffolk County Council, Constantine House,  Constantine Road",,Ipswich,IP1 2DH,England,,,,,,01/01/2016,31/12/2018,01/09/2015,NO,,Yes,Yes,No,Services,525000,876000,22/09/2015,525000,"[Genesis Housing|64 Pratt Street
London
NW1 0DL|||No|No]",,01/01/2016,31/12/2018,Open ,,
TD0920 (9U2G-WQRJV6),Contract,Derby City Council,Awarded,2015-11-05T10:52:01Z,The provision of Derby City Substance Misuse Recovery and Family Support Service,"Derby City Council sought a qualified supplier to deliver one contract relating to the misuse of drugs &alcohol - a substance misuse recovery and family support service.
There are two key components to the delivery of this service:
- Recovery support for people who use or who have used drugs and/or alcohol problematically.
- Recovery focused family support interventions including support for families were there is parental substancemisuse and support for people affected by someone else's drug/alcohol use.
In addition the service will contribute to the overarching aims of the integrated drug and alcohol recovery systemin Derby including:
- Reduce the level of harm caused to individuals, families and the wider community as a result of drug andalcohol misuse.
- Deliver high quality and safe care which is client centred, offering personalised opportunities for those usingdrugs and/or alcohol to move towards sustained recovery
- Deliver a recovery focused service which assists clients to attain a good standard of health and wellbeing andachieve a drug free life and/or achieve abstinence from alcohol or controlled drinking
- Provide non-judgmental services that are fair and equitable providing good access to all and delivering a rangeof interventions which are evidence based, cost-effective and are responsive to client need.
The initial contract period is 3 years; the contract is estimated to commence 1st April 2016 and expire on 31stMarch 2019.
There will be an option to extend the contract for one year, subject to satisfactory performance, business needsand funding. Maximum contract period is 4 years.
The consultation process confirmed that by tendering for this service in one lot there would be both economicand service efficiencies including the benefits of building a whole family approach across the treatment system,therefore, tendering in multiple lots was not deemed to be appropriate.",,,East Midlands,90740000 85312000 ,,procurement@derby.gov.uk,The Council House,,Derby,DE1 2FS,England,,,,,,01/04/2016,31/03/2019,18/08/2015,NO,,No,No,No,Services,1429286,,28/09/2015,1429286,"[Aquarius Action Projects|236 Bristol Road, Birmingham
B5 7SL|||No|No]",,01/04/2016,31/03/2019,Open ,,
Provision of Substance Misuse Peer Support Services,Contract,LONDON BOROUGH OF HARINGEY,Awarded,2021-04-21T16:23:08+01:00,Provision of Substance Misuse Peer Support Services,"This notice relates to the award of contract for the Provision of Substance Misuse Peer Support Services. The aim of the service  will be to reduce problematic substance misuse in, whilst also adding social and economic value to the residents of Haringey.",,,London,85000000,,Mercy.Arinaitwe@haringey.gov.uk,"River Park House,High Road, Wood Green",,LONDON,N228HQ,England,,,,,,01/04/2021,30/09/2023,23/03/2021,NO,,Yes,Yes,No,Services,438830,,23/03/2021,438830,"[Bringing Unity Back Into the Community|9 Bruce Grove, Tottenham, London N17 6RA|NONE_OTHER||No|Yes]",,01/04/2021,30/09/2023,SingleTenderActionNonOJEU ,,13:00
Substance Misuse Recovery Service/2,Contract,Wokingham Borough Council,Awarded,2017-04-12T11:54:40+01:00,Substance Misuse Recovery Service,"TENDER FOR THE PROVISION OF A SUBSTANCE MISUSE RECOVERY SERVICE
Wokingham Borough Council is a forward thinking and innovative Council that strives to deliver what is best for its residents. The provision of an effective drug and alcohol recovery service is a key aspect of the Council’s health and wellbeing agenda. 
Wokingham Borough Council is pleased to announce that it is inviting tenders for the provision of the Wokingham Borough Substance Misuse Recovery Services for both adults and young people within the borough. 
Wokingham Borough Council is looking for a Provider to deliver an integrated recovery orientated drug and alcohol service, including the delivery of structured programmes and prescribing services as well as harm reduction interventions. 
The successful Provider will also be responsible for the management and delivery of needle exchange, supervised consumption and shared care provision. 
Please note that residential rehabilitation and inpatient detoxification do not form part of the contract. 
The Provider will be required to act as a strategic partner with the Council contributing towards shared goals and outcomes through delivery of an effective and efficient service. 
The Service will be delivered under a two year contract, held with Wokingham Borough Council, with the opportunity of a year on year extension for a further three years, subject to satisfactory performance, funding availability and mutual agreement of the parties. The service contract is expected to commence on 1st April 2017

The annual contract price is between £490,000 - £510,000. 

How to apply
Interested parties are able to download or request the Tender pack via one of the methods shown below:
•	Contracts Finder website 
Register and download the Tender pack 
•	Wokingham Borough Council Website 

The deadline for tender submissions is Midday, 12th December 2016. Responses received after this time will be disregarded.

For queries relating to this tender, please contact 

Hayley Rees
Wokingham Borough Council
Civic Offices
Shute End
Wokingham Borough Council RG40 1BN
Tel: 0118 978 6705
Email: procurement@wokingham.gov.uk 

Please refer to the advert for further details",,,South East,85312000,Hayley Rees,hayley.rees@wokingham.gov.uk,Wokingham Borough Council,Shute End Offices,Wokingham,RG401BN,England,,,SCHEDULE 4 - TUPE Information.xlsx SCHEDULE 9 Form of Tender.docx Invitation to Tender.doc SCHEDULE 5 Non Collusive Tendering Certificate.docx Schedule 1 Service Specification.pdf SCHEDULE 12 Confidentiality Certificate.docx SCHEDULE 7 Bona Fide Tender Certificate.docx SCHEDULE 2 Pricing Schedule.xlsx SCHEDULE 11 Acceptance of TUPE responsibilities.docx SCHEDULE 10 Acceptance of Terms and Conditions.docx Substance Misuse Recovery Service Advert.docx SCHEDULE 8 Freedom of Information and Transparency.docx SCHEDULE 3 Draft terms and conditions.doc SCHEDULE 6 Non Canvassing Certificate.docx ,,,01/04/2017,31/03/2019,12/12/2016,YES,Substance Misuse Recovery Service,Yes,Yes,No,Services,2450000,2550000,13/02/2017,0,"[SMART|30 Bankside Court
Station Fields
Kidlington
Oxon OX5 1JE|||No|No]",,01/04/2017,31/03/2019,Open ,,
Tier 4 Substance Misuse Framework - RFQ 1709279,Contract,Lancashire County Council,Awarded,2015-04-22T10:00:01+01:00,Lancashire Tier 4 Substance Misuse Framework,"Please note: The tender return date has been changed from 10:00am on 29/05/2015 to 10:00am on 12/06/2015.
This tender concerns the provision of health and social care services to adults with substance misuse problems, who reside within the Lancashire County Council area.  
Lancashire County Council (LCC) is dedicated to the provision of high quality tier 4 substance misuse services which deliver both a high percentage of positive outcomes for service users and offer strong value for money.  
By procuring the detoxification and rehabilitation elements of the tier 4 Services through a single process, LCC will produce an integrated service which offers best value for money and an effective and choice-promoting service to its communities.
To achieve this, LCC is seeking to procure the following services, by undertaking a competitive tender process broadly following the public contract regulations 2015.

The full details include services set out within the Service Specifications, but some broad aims of the service(s) include:
• To assist drug and alcohol users who wish to abstain from using drugs and alcohol;
• To assist service users to remain healthy and achieve a drug/alcohol-free life;
• To assist the service users to effectively identify and achieve their recovery goals;
• To maximise treatment gains and enable re-integration into local communities;
• To improve overall personal, social and family functioning;
• To promote the principles of choice and accessibility in line with the National Drug Strategy (2010);
• To assess the possible risks to health and safety of children living with problem drug/alcohol users through the service user's initial and subsequent assessments. To refer to appropriate support agencies;
• To assess the possible risks to health and safety of an unborn child/children who would be living with problem drug/alcohol users through the service user's initial and subsequent assessments and to refer to appropriate support agencies;
• To reduce the dangers associated with Blood Borne Viruses including the risks of HIV, hepatitis A, B and C and other blood borne infections and promote treatment for alcohol-related illness and disease;
• To introduce service users to a variety of options of mutual aid with full explanations in order for them to make an informed choice;
• To promote participation in the growing the recovery community;
• To encourage and facilitate the individuals to return to their communities of residence;
• To meet health and social care needs;
• To maximise value for money.",,,North West,85000000,Jig Parmar,jig.parmar@lancashire.gov.uk,"2nd Floor, Christ Church Precenct",County Hall,Preston,PR1 8XJ,England,01772 538037,,,,,01/10/2015,30/09/2022,12/06/2015,NO,,Yes,Yes,No,Services,21000000,,14/10/2015,21000000,[List of successfully awarded suppliers included within attached |See attached list.|||No|No],,04/01/2016,03/01/2023,Open ,,
BOURN001-DN687427-41813652,Contract,Bournemouth Christchurch and Poole Council,Awarded,2023-08-31T11:55:54+01:00,Residential Rehabilitation for substance misuse,Residential Rehabilitation for substance misuse,,,England,85000000,Strategic Procurement Team,procurement@bcpcouncil.gov.uk,BCP Council,"Civic Centre, Bourne Avenue",Bournemouth,BH2 6DY,United Kingdom,'+44 1202128989,https://www.bcpcouncil.gov.uk,,,,01/04/2023,31/03/2026,17/03/2023,NO,,Yes,Yes,No,Services,1,750000,24/03/2023,750000,[Addiction Recovery Agency|BS1 4EF|NONE||Yes|Yes][ANA|PO6 1NJ|NONE||No|No][Bosence Farm Community Ltd|TR27 6AN|NONE||Yes|No][Broadway Lodge|BS24 9NN|NONE||No|No][Chy|TR1 1JE|NONE||No|No][Drugs Link|HP3 9ST|NONE||No|No][Kenward Trust|ME18 6AH|NONE||No|No][Phoenix Futures|SE1 6DF|NONE||No|No][Promis|CT14 0EE|NONE||No|No][Providence Projects|BH1 4EJ|NONE||No|No][Sefton Park|BS23 2AX|NONE||No|No][Somewhere House|TA8 2EZ|NONE||Yes|No][StreetScene Addiction Recovery|BH15 2QL|NONE||Yes|No][The Forward Trust|SE11 5DP|NONE||No|No][Tom Harrison House|L4 2RS|NONE||Yes|Yes][Trevi House|PL14 6BW|NONE||No|No][Western Counselling|BS23 1EW|NONE||Yes|No][Westminster Drug Project|SW1H 9BL|NONE||No|No][Willowdene|WV16 6PP|NONE||Yes|Yes],,01/04/2023,31/03/2026,Other ,,14:00
20240725163739-103835,Contract,EU SUPPLY LIMITED,Awarded,2024-07-25T16:37:45+01:00,All Substance Misuse,"Barnsley Metropolitan Borough Council (the Authority) have awarded the provision for the delivery of the Community Drug and Alcohol Treatment and Recovery Service (known as Barnsley Recovery Steps) and the Multiple and Complex Needs Supported Accommodation Provision (25 years+).

The contract will include the Adult Substance Misuse Service (currently known as Barnsley Recovery Steps), the Young Peoples' Substance Misuse Service (currently delivered in house by the Authority) and the Multiple and Complex Needs Supported Accommodation (25 years+).

The Authority have awarded the contract to Humankind Charity for the following period:

Contract Start Date: 1st April 2024

Contract End Date: 31st March 2029

Option to Extend until 31st March 2031

Please note, the total contract value is based on the Council receiving the same funding for each years as per 24/25.  1st April 2024 - 31st march 2025 has an agreed amount for £5,596,968.70 The estimated value may change as it is subject to confirmation from each funding body.",,,Yorkshire and The Humber,85000000 90743100 90743200 ,Katie Tomlinson,katietomlinson@barnsley.gov.uk,Town Hall,,"Barnsley, South Yorkshire",S70 2TA,ENG,'+44 0126000000,https://www.barnsley.gov.uk,,https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=81437&B=UK https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/103835 ,,01/04/2024,31/03/2029,31/03/2024,NO,,No,No,No,Services,41000000,,01/04/2024,41000000,"[Humankind Charity|Durham
DH6 5PF|NONE||No|No]",,01/04/2024,31/03/2029,Other other,,12:00
tender_389073/1362939,Contract,London Borough of Hillingdon,Awarded,2024-06-13T13:31:38+01:00,"Substance Misuse, Treatment and Recovery Service and Smoking Cessation Service","The Public Health Department of London Borough of Hillingdon has awarded a contract to a provider to deliver 

Lot 1 Adult Substance Misuse, Treatment and Recovery Service; 
Lot 2 Smoking Cessation Service 

Hillingdon&apos;s Objectives
In Hillingdon our intention is to commission substance misuse services that have 'harm reduction' as a principle aim and 'recovery' as a desirable and achievable outcome.
In Hillingdon our goal is to reduce smoking prevalence in each of the priority groups, with a general overall population level reduction in smoking prevalence across Hillingdon and Improvement relative to London and England.


The Contract Term is for a 5 year period with optional extensions of 2 + 2 years 

The value of the notice is the full 9 year term",,UB8 1UW,Any region,85100000,Ms Sally Offin,soffin@hillingdon.gov.uk,"Hillingdon Council, Civic Centre, High Street",,Uxbridge,UB8 1UW,England,,,,,Hillingdon utilized the following sourcing portal for the tender  www.capitalesourcing.com,01/06/2024,31/05/2033,02/11/2023,NO,,Yes,Yes,No,Services,30179560.82,,01/02/2024,30179560.82,"[Central and North West London NHS Foundation Trust|Trust Headquarters, 350 Euston Road, Regents Place London, NW1 3AX|NONE_OTHER||No|No]",,01/06/2024,31/05/2033,OpenOJEU ,,12:00
SEFT001-DN685410-86835801,Contract,Sefton Council,Awarded,2023-12-06T11:49:14Z,Dynamic Purchasing System for Residential Substance Misuse Rehabilitation Services,"Sefton Council set up this Dynamic Purchasing System (D.P.S.) for the provision of Residential Substance Misuse Rehabilitation Services in 2022. \r
\r
The reason the Council opted to pursue a D.P.S. was to enable the Council to remain in touch with this marketplace on a greater frequency than would be permissible under a Framework. The Council set out in 2022 that it aimed to re-open the opportunity for any potential providers that may have either :\r
\r
a)	joined this marketplace since the DPS was established, or \r
\r
b)	were in this marketplace when the DPS was established, did not opt to bid at the time of its formation, but have since developed an interest in providing services to the Council\r
\r
Re-opening the window of opportunity provides incumbent providers on the existing DPS to confirm their current commitment, and also enables a new proposal to be submitted should any incumbent provider wish to submit an updated proposal. \r
\r
The Council planned to re-open the DPS to any further potential Service Providers for approximately 2 weeks, initially from 1st September 2023\r
\r
Effective treatment and recovery requires a range of services and interventions including; specialist clinical services offering opiate replacement treatment, stabilisation and reduction programmes, medically assisted alcohol withdrawal programmes, psychosocial interventions and support, non-structured support including mutual aid, harm reduction services, including needle and syringe programmes and referral pathways to related health and social care services as well as residential rehabilitation programmes.\r
\r
Sefton Council are inviting expressions of interest from established Service Providers to join a Dynamic Purchasing System (DPS) for selection and commissioning of Residential Substance Misuse Rehabilitation Services. The Council are looking to commission rehabilitation placements at three levels, Standard, Enhanced and Specialist and Service Providers are invited to submit bids against one or more levels.\r
\r
Requirements and criteria for service provision at each of these levels is outlined in detail throughout the enclosed Service Specification. It is anticipated that prospective Service Providers will describe their experience and capability in providing these services at one or more of the levels described.\r
",,,England,85144000,David Brown,david.brown@sefton.gov.uk,2nd Floor Magdalen House,Trinity Road,Bootle,L20 9JN,England,,https://www.sefton.gov.uk,,https://procontract.due-north.com/Advert?advertId=9b2e3b65-1547-ee11-8124-005056b64545 ,,30/10/2023,31/03/2025,15/09/2023,NO,,Yes,Yes,No,Services,427500,427500,03/11/2023,427500,[holgate house|BB9 6AB|NONE||Yes|No][Littledale Hall Therapeutic Community|LA2 9EY|NONE||Yes|No][Liverpool YMCA|L3 6HU|NONE||Yes|Yes][Somewhere House|TA8 2EZ|NONE||Yes|No][THOMAS|BB2 1LX|NONE||Yes|Yes][Turning Point Services Ltd|EC3N 2LU|NONE||No|No],,09/11/2023,31/03/2025,Open ,,12:00
tender_356954/1285957,Contract,London Borough of Hammersmith & Fulham,Awarded,2023-11-23T10:03:12Z,Hammersmith & Fulham Young People&apos;s Integrated Substance Misuse and Sexual Health (ISMASH) Service,"Hammersmith and Fulham Council awards a contract for the provision of an Integrated Substance Misuse
and Sexual Health (ISMASH) Service for Young People. H&F aims to help young people become the best
versions of themselves with the opportunity to be become prosperous. Some of our most vulnerable
young people face additional barriers which impact their ability to flourish. H&F aims to remove some of
these barriers and is developing an integrated service for substance misuse and sexual health to reduce
young people partaking in risky behaviours and minimise the harms that these behaviours can cause.",,W6 9JT,London,85000000,London Borough of Hammersmith & Fulham,Roger.Cooper@V4Services.com,145 King Street,,London,W6 9JT,England,,,,,,01/10/2023,30/09/2026,14/07/2023,NO,,Yes,Yes,No,Services,1400000,1400000,01/10/2023,1400000,[Turning Point Limited|America House 2 America Sq London EC3N 2LU|COMPANIES_HOUSE|00793558|Yes|Yes],,01/10/2023,30/09/2026,OpenOJEU ,,12:00
925f4a22-4b13-41d5-9d8c-4f5597743a77,Contract,Surrey County Council,Awarded,2023-09-28T13:08:15+01:00,SCC AA - Provision of Support Services for Women with Substance Misuse,"SCC Contract for the Provision of Support Services for Women with
      Substance Misuse (Surrey Women's Support Centre)
      
      RE: SCC Contract for the Provision of Support Services for Women with Substance Misuse (Women in Prison)
      Proactis ref: CTRR1000552.
      
      
      As of 1st of June 2023, the management of the Surrey Women's Support Centre was transferred from Woking Borough Council to Catalyst Support Ltd (company number: 03689561). A variation is required to change the name of the provider to Catalyst Support Ltd for this contract.",,RH2 8EF,Any region,85000000,Amara Appleton,Amara.Appleton@surreycc.gov.uk,"Woodhatch Place, 11 Cockshot Hill",", ,",Reigate,RH2 8EF,UNITED KINGDOM,2085419000,,,https://supplierlive.proactisp2p.com/Account/Login?cid=surreycc ,,29/09/2023,31/03/2025,28/09/2023,NO,,No,No,No,Services,150870.5,150870.5,28/09/2023,0,"[Catalyst Support Ltd|14 Jenner Road, Guildford, Surrey, GU1 3PL, UNITED KINGDOM|NONE||No|No]",,29/09/2023,31/03/2025,NotSpecified ,,13:02
DN536367,Contract,Redcar & Cleveland Borough Council,Awarded,2022-01-28T18:27:45Z,Integrated Domestic Abuse and Substance Misuse Model (IDAS) - Procuring a Delivery Partner,"The Council is inviting interest from suitable organisations to become our Partner to co-develop and deliver a community based Integrated Domestic Abuse and Substance Misuse (IDAS) Model to include services for domestic abuse and substance misuse. This will include support, and capacity building, engagement, early intervention, prevention, recovery co-ordination, family and carer support, community recovery support, peer support, clinical treatment, retention; through care; after care; relapse prevention care; relapse prevention and training. It is expected that the service will also work collaboratively with the Council's Housing Advice and Information Team. The contract period is 5 years with 3 x 12 month optional extensions.",,,North East,85000000 98000000 ,Michelle Gray,michelle.gray@redcar-cleveland.gov.uk,"Redcar & Cleveland House,Kirkleatham Street",,REDCAR,TS101RT,England,01642 771257,www.redcar-cleveland.gov.uk,,,"Please be advised that Redcar & Cleveland Borough Council are conducting this procurement via the NEPO Portal (Pro-Contract) www.nepo.org. You will need to register as a supplier on the site (registration is free) and search for Redcar & Cleveland Borough Council within the Contract Opportunities section. Once your expression of interest has been received, immediate access to the tender documentation is granted, for the person who expressed the interest. You will need to log back in to access the documentation.",01/04/2022,31/03/2027,01/06/2021,NO,,Yes,Yes,No,Services,19000000,,25/01/2022,19350000,"[WE ARE WITH YOU|Gate House,1 -3 St. John's Square
LONDON
EC1M 4DH
GB|COMPANIES_HOUSE|02580377|No|Yes]",,01/04/2022,31/03/2027,Other Competitive Procedure with Negotiation,,14:00
DN392146,Contract,WAKEFIELD COUNCIL,Awarded,2020-03-10T12:27:59Z,Family Focussed Substance Misuse Service (Drugs and Alcohol),"Wakefield Council is reshaping its current young people substance misuse service and its parent and carer support services by procuring a family focussed substance misuse service (drugs and alcohol)
The contract is anticipated to commence on 1 July 2020 for a period of 5 years. The Council may extend the contract for period of up to 5 years, such period/multiple of periods at the discretion of the Council, meaning the final possible expiry date is 30 June 2030.",,,Yorkshire and The Humber,85000000,The Council of the City of Wakefield,procurement@wakefield.gov.uk,"Town Hall, Wood Street",,Wakefield,WF1 2HQ,England,7919300411,,,,,01/07/2020,30/06/2030,18/04/2018,NO,,Yes,Yes,No,Services,1480800,1530800,10/03/2020,39877900,"[Turning Point|Standon House
M1 2AY
GB|COMPANIES_HOUSE|00793558|No|No]",,01/04/2020,31/03/2030,RestrictedOJEU ,,12:00
20230329173651-104130,Contract,Sheffield City Council,Awarded,2023-03-29T17:36:57+01:00,Outreach & Transitional Service for Young Adults Aged 16-25 years to deliver interventions around substance misuse to reduce harm and associated risky behaviours,"Provision of an outreach service that will deliver interventions around substance misuse to reduce harm and associated risky behaviours for 16-25-year-olds. It will also increase the proportion of young people/adults misusing drugs who require access to substance misuse treatment and recovery support, and earlier interventions for young offenders to divert them away from the criminal justice system, particularly prison. The contract was awarded to the most economically advantageous tender via an RFQ process under light touch regime. The award of this contract was in accordance with the Council's delegated approval procedures.",,,Yorkshire and The Humber,85312400 85312500 85322000 85323000 ,,commercialservices@sheffield.gov.uk,"Town Hall, Pinstone Street,",,Sheffield,S1 2HH,ENG,'+44 1142057397,https://www.sheffield.gov.uk,,https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=61689&B=UK https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/104130 ,,30/03/2023,31/03/2024,20/03/2023,NO,,Yes,Yes,No,Services,645874,645874,29/03/2023,645874,[Change Grow Live|UK|NONE||No|No],,30/03/2023,31/03/2024,Other ,,12:00
LEICSCC001-DN643807-49553958,Contract,Leicestershire County Council,Awarded,2022-11-22T13:08:29Z,Substance Misuse - Non-Engagement Research and Peer Mentor & Employability,"Research project to address inequalities and non engagement to increase the numbers in substance misuse treatment.
Also, support for service users to build resilience and increase their chance of employability as well as reducing re-presentations into the service (relapse of substance misuse).",,,England,85000000,Louis Blake,Louis.Blake@leics.gov.uk,County Hall,"Leicester Road, Glenfield",Leicester,LE3 8RA,England,,https://www.eastmidstenders.org/index.html,,,,01/04/2022,31/03/2025,17/03/2022,NO,,Yes,Yes,No,Services,328445,328445,25/03/2022,328445,"[FALCON SUPPORT SERVICES E.M LTD|The Falcon Centre, 27-31 Pinfold Gate, Loughborough, Leicestershire, LE11 1BE|NONE||Yes|Yes]",,01/04/2022,31/03/2025,DirectAward ,,12:00
